'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05456799930996365
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.050550997257232666
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05958300166659885
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06604369481404622
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05469192398919
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.052689552307128906
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05603170394897461
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0503263132912772
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05489325523376465
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.059882773293389216
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06004776954650879
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.056203603744506836
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05090536390032087
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05635637044906616
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.054130342271592885
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.056129137674967446
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05532693862915039
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0546980963812934
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05720278194972447
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04602127605014377
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0649978518486023
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.059811878204345706
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0523432195186615
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.0672869086265564
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06085930930243598
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06186073166983468
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06145318349202474
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05522052447001139
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05317599432809012
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05800597667694092
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058713522824374115
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058870553970336914
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04578375816345215
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04584786627027723
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06351891430941495
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06370264291763306
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.055903991063435875
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.06479525566101074
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.058013391494750974
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05440205997890896
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05271214909023709
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.05736809306674533
'service_type': Youtube, 'src_ip': 10.0.0.9, 'dst_ip': 10.0.0.25, 'response_time': 0.04879074626498752
